Reference Company,Security Description,Trade Date,Ask,Bid,Close
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/9/20,9.544,9.194,9.369
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/10/20,9.685,9.385,9.535
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/11/20,9.9,9.6,9.75
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/14/20,9.908,9.507,9.708
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/15/20,9.9,9.6,9.75
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/16/20,9.712,9.313,9.512
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/17/20,9.675,9.275,9.475
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/18/20,9.8,9.4,9.6
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/21/20,10.212,9.813,10.012
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/22/20,10.15,9.75,9.95
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/23/20,9.975,9.575,9.775
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/24/20,9.85,9.45,9.65
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/25/20,9.875,9.475,9.675
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/28/20,9.9,9.5,9.7
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/29/20,9.9,9.6,9.75
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/30/20,10.125,9.725,9.925
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,11/30/20,9.556,9.206,9.381
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/1/20,9.563,9.212,9.387
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/2/20,9.538,9.188,9.363
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/3/20,9.55,9.25,9.4
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/4/20,9.587,9.238,9.413
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/7/20,9.6,9.3,9.45
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/8/20,9.575,9.225,9.4
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/9/20,9.538,9.188,9.363
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/10/20,9.665,9.365,9.515
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/11/20,9.775,9.475,9.625
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/14/20,9.75,9.35,9.55
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/15/20,9.75,9.45,9.6
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/16/20,9.675,9.375,9.525
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/17/20,9.6,9.3,9.45
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/18/20,9.75,9.45,9.6
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/21/20,9.962,9.613,9.788
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/22/20,10.063,9.663,9.863
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/23/20,9.875,9.525,9.7
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/24/20,9.7,9.35,9.525
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/25/20,9.738,9.387,9.563
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/28/20,9.825,9.325,9.575
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/29/20,9.8,9.45,9.625
AUD6MO=R,Australian Dollar/US Dollar 6 Month ATM Option,12/30/20,9.9,9.6,9.75
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,11/30/20,9.575,9.175,9.375
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/1/20,9.575,9.175,9.375
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/2/20,9.5,9.2,9.35
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/3/20,9.597,9.297,9.447
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/4/20,9.575,9.225,9.4
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/7/20,9.7,9.25,9.475
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/8/20,9.55,9.25,9.4
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/9/20,9.55,9.2,9.375
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/10/20,9.625,9.325,9.475
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/11/20,9.75,9.35,9.55
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/14/20,9.705,9.355,9.53
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/15/20,9.75,9.45,9.6
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/16/20,9.65,9.3,9.475
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/17/20,9.6,9.3,9.45
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/18/20,9.625,9.275,9.45
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/21/20,9.9,9.55,9.725
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/22/20,9.958,9.507,9.733
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/23/20,9.875,9.425,9.65
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/24/20,9.775,9.325,9.55
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/25/20,9.775,9.375,9.575
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/28/20,9.8,9.3,9.55
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/29/20,9.75,9.4,9.575
AUD9MO=R,Australian Dollar/US Dollar 9 Month ATM Option,12/30/20,9.825,9.525,9.675
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,11/30/20,9.563,9.212,9.387
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/1/20,9.594,9.194,9.394
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/2/20,9.563,9.212,9.387
AUD1YO=R,Australian Dollar/US Dollar 1 Year ATM Option,12/3/20,9.55,9.25,9.4
